Carpet Area,BHK,House Type,Furnishing,Address,Price
900 sqft,1,Apartment,Unfurnished,Pankaj nagar Surat,"₹
24.8 Lac"
960 sqft,2,Apartment,Unfurnished,Anand Mahal Road Surat,"₹
41.5 Lac"
1050 sqft,2,Apartment,Furnished,Citylight Area Surat,"₹
1.10 Cr"
2300 sqft,5,Apartment,Unfurnished,Pal Surat,"₹
3.05 Cr"
950 sqft,3,Apartment,Furnished,"Yogi Heights, Nana Varachha Surat","₹
75 Lac"
1080 sqft,2,Apartment,Semi-Furnished,sarthana jakatnaka Surat,"₹
42 Lac"
1000 sqft,3,Apartment,Furnished,Ghod Dod Road Surat,"₹
1.25 Cr"
1327 sqft,3,Apartment,Furnished,Vesu Surat,"₹
1.57 Cr"
720 sqft,2,House,Unfurnished,Velanja Surat,"₹
31.5 Lac"
800 sqft,3,House,Furnished,Dindoli Surat,"₹
55 Lac"
920 sqft,3,Apartment,Furnished,Saroli Surat,"₹
65 Lac"
1500 sqft,3,Apartment,Furnished,"Mahaveer Nagar, New citylight Surat","₹
45 Lac"
2433 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
1.50 Cr"
649 sqft,1,House,Unfurnished,Olpad Surat,"₹
23 Lac"
250 sqft,1,House,Semi-Furnished,Sayan Surat,"₹
65 Lac"
970 sqft,2,Apartment,Semi-Furnished,anmol park Surat,"₹
60 Lac"
400 sqft,3,Farm House,Unfurnished,"Princess House, Mota Varachha Surat","₹
5 Lac"
1400 sqft,3,Apartment,Unfurnished,"Rajhans Corazo, Vesu Surat","₹
1.59 Cr"
1311 sqft,2,Apartment,Unfurnished,"Pramukh Amaya, Palanpur Surat","₹
55.8 Lac"
780 sqft,1,Apartment,Semi-Furnished,"Orchid Infinity, Palanpur Gam Surat","₹
29 Lac"
1450 sqft,3,N/A,Furnished,Palanpur Surat,"₹
1.20 Cr"
800 sqft,2,Apartment,Unfurnished,Thakordwar Appartment Surat,"₹
40 Lac"
1080 sqft,5,House,Unfurnished,Kadodara Surat,"₹
29 Lac"
168 sqyrd,5,House,Furnished,Sai Villa Society Surat,"₹
3.41 Cr"
800 sqft,1,Villa,Unfurnished,Masma Surat,"₹
29 Lac"
930 sqft,2,Apartment,Furnished,Megha Tower 1 opp. Joggers park near Ishwar Farm Ghoddod road Surat Surat,"₹
49 Lac"
1600 sqm,2,Villa,Semi-Furnished,Surat,"₹
85 Lac"
1775 sqft,3,Apartment,Unfurnished,"Raghuvir Spectrum, Vesu Canal Road Surat","₹
83 Lac"
925 sqft,2,Apartment,Furnished,shilpa park Surat,"₹
31 Lac"
1593 sqft,3,House,Unfurnished,Vesu Surat,"₹
2.20 Cr"
1440 sqft,3,Apartment,Unfurnished,"Pooja Aagam Cross Roads, New citylight Surat","₹
72 Lac"
1700 sqft,3,House,Semi-Furnished,Katargam Surat,"₹
3.51 Cr"
400 sqft,1,Apartment,Semi-Furnished,Singanpor Surat,"₹
14.2 Lac"
420 sqft,1,Apartment,Unfurnished,Utran Surat,"₹
16 Lac"
1935 sqft,3,House,Unfurnished,Haldharu Surat,"₹
2 Cr"
800 sqft,2,House,Unfurnished,Dindoli Surat,"₹
42 Lac"
1470 sqft,3,N/A,Unfurnished,Nanpura Surat,"₹
42 Lac"
750 sqft,3,House,Semi-Furnished,Harinagar 2 Surat,"₹
25 Lac"
1638 sqft,4,House,Unfurnished,Dindoli Surat,"₹
60 Lac"
800 sqft,2,Apartment,Furnished,Tadwadi Surat,"₹
29.5 Lac"
625 sqft,1,Apartment,Semi-Furnished,Adajan Gam Surat,"₹
26.5 Lac"
1374 sqft,4,Apartment,Unfurnished,Pal Gam Surat,"₹
80 Lac"
722 sqft,1,Apartment,Unfurnished,Adajan Surat,"₹
21 Lac"
1503 sqft,5,Villa,Semi-Furnished,"Vatsalya Bungalows, Vesu Surat","₹
3.12 Cr"
650 sqft,2,N/A,Furnished,Kosamba Surat,"₹
9.5 Lac"
648 sqft,2,House,Unfurnished,Dindoli Surat,"₹
19.5 Lac"
3700 sqft,5,Apartment,Semi-Furnished,"Atlanta Eliza, Vesu Surat","₹
5.50 Cr"
N/A,3,Apartment,Furnished,"Happy Residency, Vesu Surat","₹
86 Lac"
1741 sqft,2,Apartment,Semi-Furnished,"Rajgreen Punyabhoomi, Vesu Surat","₹
82 Lac"
970 sqft,2,Apartment,Furnished,"Parishram Park, Jahangirabad Surat","₹
35.5 Lac"
1350 sqft,2,House,Unfurnished,Kawas Surat,"₹
32.5 Lac"
1850 sqft,3,Apartment,Semi-Furnished,"Green Residency, Adajan Surat","₹
75 Lac"
980 sqft,2,N/A,Unfurnished,Amroli Surat,"₹
17 Lac"
861 sqft,2,N/A,Unfurnished,Pasodara Surat,"₹
13 Lac"
2830 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
1.72 Cr"
2830 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
1.70 Cr"
1665 sqft,3,Apartment,Unfurnished,Sarthana Jakat Naka Surat,"₹
70 Lac"
1750 sqft,3,Apartment,Furnished,Vesu Surat,"₹
85 Lac"
1156 sqft,2,Apartment,Unfurnished,Magdalla Surat,"₹
47.5 Lac"
1156 sqft,2,Apartment,Unfurnished,Magdalla Surat,"₹
47.5 Lac"
1156 sqft,2,Apartment,Unfurnished,Magdalla Surat,"₹
45 Lac"
1156 sqft,2,Apartment,Unfurnished,Magdalla Surat,"₹
45 Lac"
802 sqft,2,Apartment,Semi-Furnished,Saroli Surat,"₹
25 Lac"
1331 sqft,2,Apartment,Semi-Furnished,"Green Arcade, Adajan Surat","₹
52 Lac"
1725 sqft,3,Apartment,Unfurnished,"Green Residency, Adajan Surat","₹
73 Lac"
1450 sqft,3,Apartment,Semi-Furnished,"Green Residency, Adajan Surat","₹
66 Lac"
1175 sqft,3,Apartment,Furnished,"Green Residency, Adajan Surat","₹
85 Lac"
1711 sqft,3,Apartment,Semi-Furnished,"Green Residency, Adajan Surat","₹
78 Lac"
688 sqft,1,Apartment,Unfurnished,Jahangirabad Surat,"₹
21.6 Lac"
668 sqft,1,Apartment,Unfurnished,Jahangirabad Surat,"₹
19.4 Lac"
679 sqft,1,Apartment,Unfurnished,Jahangirabad Surat,"₹
18.8 Lac"
668 sqft,1,Apartment,Unfurnished,Jahangirabad Surat,"₹
18.7 Lac"
679 sqft,1,Apartment,Unfurnished,Jahangirabad Surat,"₹
23 Lac"
1750 sqft,3,Apartment,Furnished,"Green Arcade, Pal Surat","₹
80 Lac"
2041 sqft,3,Apartment,Unfurnished,"Green Arcade, Adajan Surat","₹
76 Lac"
1360 sqft,2,N/A,Semi-Furnished,"Green Arcade, Adajan Surat","₹
55 Lac"
1100 sqft,2,N/A,Unfurnished,Tadwadi Surat,"₹
30 Lac"
1375 sqft,2,Apartment,Furnished,"Ratna Shyam Residency, Althan Surat","₹
60 Lac"
648 sqft,1,House,Unfurnished,Kadodara Surat,"₹
23 Lac"
2829 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
1.84 Cr"
2800 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
1.54 Cr"
2700 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
1.50 Cr"
2700 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
1.50 Cr"
975 sqft,2,Apartment,Unfurnished,Katar Gam Surat,"₹
32 Lac"
850 sqft,2,Apartment,Furnished,"Khushi Krish Heights, Pal Surat","₹
92 Lac"
3300 sqft,8,House,Furnished,Adajan Surat,"₹
4.50 Cr"
1254 sqft,2,Apartment,Unfurnished,"Shubham Park, Adajan Surat","₹
46 Lac"
2041 sqft,3,Apartment,Furnished,Vesu Surat,"₹
85 Lac"
2041 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
85 Lac"
2041 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
85 Lac"
1700 sqft,3,Apartment,Furnished,Vesu Surat,"₹
85 Lac"
2870 sqft,4,Apartment,Unfurnished,Vesu Surat,"₹
1.81 Cr"
2860 sqft,4,Apartment,Unfurnished,Vesu Surat,"₹
1.80 Cr"
2878 sqft,4,Apartment,Unfurnished,Vesu Surat,"₹
1.78 Cr"
2878 sqft,4,Apartment,Unfurnished,Vesu Surat,"₹
1.75 Cr"
2195 sqft,3,Apartment,Unfurnished,Vesu Surat,"₹
1.42 Cr"
1643 sqft,3,Apartment,Furnished,Vesu Surat,"₹
70.5 Lac"
1154 sqft,2,Apartment,Unfurnished,Magdalla Surat,"₹
47.5 Lac"
1440 sqft,3,House,N/A,Saniya Kande Surat,"₹
41.5 Lac"
820 sqft,2,House,N/A,Saniya Kande Surat,"₹
44.2 Lac"
630 sqft,1,House,Unfurnished,Pal Gam Surat,"₹
63 Lac"
2400 sqft,4,Villa,Unfurnished,LP Savani Surat,"₹
1.20 Cr"
1240 sqft,2,House,Furnished,Kawas Surat,"₹
35 Lac"
1655 sqft,3,Apartment,Unfurnished,Bhatha Surat,"₹
45 Lac"
1505 sqft,3,Apartment,Semi-Furnished,Bhatha Surat,"₹
45 Lac"
133 sqyrd,3,House,Semi-Furnished,"23, Gokuldham Raw House, Bhatpore ,Surat Surat","₹
65 Lac"
950 sqft,2,Apartment,Furnished,Bhatar Surat,"₹
60 Lac"
1070 sqft,2,Apartment,Semi-Furnished,Chowk Bazar Surat,"₹
29.4 Lac"
1035 sqft,2,Villa,Semi-Furnished,Pankaj nagar Surat,"₹
1.15 Cr"
110 sqm,3,House,Unfurnished,Surat,"₹
80 Lac"
19 sqft,4,House,Semi-Furnished,Adajan Surat,"₹
1.05 Cr"
788 sqft,2,Apartment,Furnished,Chowk Bazar Surat,"₹
20.6 Lac"
500 sqft,1,Apartment,Furnished,"Navsarjan Appartment, Kailash Nagar Surat","₹
20 Lac"
900 sqft,3,House,Unfurnished,Shakti Nagar Surat,"₹
1 Cr"
800 sqft,1,House,Unfurnished,Shakti Nagar Surat,"₹
25 Lac"
675 sqft,1,Apartment,N/A,Parvat Patia Gaon Surat,"₹
18.5 Lac"
1200 sqft,2,Apartment,N/A,Parvat Patia Gaon Surat,"₹
33 Lac"
890 sqft,2,Apartment,N/A,Parvat Patia Gaon Surat,"₹
32 Lac"
675 sqft,1,House,Furnished,UMRA PIPLOD Surat,"₹
27.5 Lac"
1125 sqft,2,N/A,Unfurnished,Pasodara Surat,"₹
29 Lac"
861 sqft,2,N/A,Unfurnished,Pasodara Surat,"₹
14 Lac"
