Carpet Area,BHK,House Type,Furnishing,Address,Price
900 sqft,2,Apartment,Semi-Furnished,"Samsara Luxury Apartment, Nizampura Vadodara","₹
54 Lac"
1153 sqft,2,Apartment,Semi-Furnished,"Kailash Shikhar, Atladra Vadodara","₹
39 Lac"
1353 sqft,3,Apartment,Semi-Furnished,"Bhakti Kasper Bliss, Bhayli Vadodara","₹
55 Lac"
680 sqft,1,Apartment,Unfurnished,Vadodara East Block Ii Vadodara,"₹
17.5 Lac"
693 sqft,2,Apartment,Unfurnished,"Omkara Planet, New Kareli Baug Vadodara","₹
30 Lac"
985 sqft,3,Apartment,Furnished,"Fortune Glory, Kalali Vadodara","₹
50 Lac"
1500 sqft,3,Apartment,Unfurnished,"Shikhar 1 Subhanpura, Subhanpura Vadodara","₹
60 Lac"
1500 sqft,4,Apartment,Unfurnished,"The Mark, Bill Vadodara","₹
46 Lac"
1710 sqft,3,N/A,Semi-Furnished,"Orchid Harmony, Sama Savli Road Vadodara","₹
55 Lac"
N/A,3,Apartment,Semi-Furnished,Sama Savli Road Vadodara,"₹
55 Lac"
2800 sqft,3,N/A,Unfurnished,Vasna Bhayli Main Road Vadodara,"₹
62 Lac"
3100 sqft,5,N/A,Unfurnished,BEL AIR RESIDENCY NILAMBER CIRCLE BHAYLI TP1 Vadodara,"₹
2.75 Cr"
755 sqft,2,Apartment,Semi-Furnished,"Akshar Heritage, Karelibaug Vadodara","₹
48 Lac"
1100 sqft,2,Apartment,Semi-Furnished,Atladra Vadodara,"₹
32 Lac"
960 sqft,2,Apartment,Semi-Furnished,"Bakeri Swara, Makar Pura Vadodara","₹
35 Lac"
1350 sqft,3,Apartment,Unfurnished,"Rajeshwar Galaxy, Harni Road Vadodara","₹
39 Lac"
1350 sqft,3,Apartment,Unfurnished,"Narayan Essenza, Vasna Bhayli Main Road Vadodara","₹
50 Lac"
500 sqft,1,Apartment,Furnished,Sayajipura Vadodara,"₹
20 Lac"
800 sqft,2,Apartment,Unfurnished,Jambuva Vadodara,"₹
18 Lac"
