Carpet Area,BHK,House Type,Furnishing,Address,Price
1350 sqft,3,House,Furnished,Karamsad Road Anand,"₹
47 Lac"
1000 sqft,2,House,Unfurnished,Karamsad Anand,"₹
25 Lac"
1500 sqft,3,Apartment,Unfurnished,Vallabh Vidyanagar Anand,"₹
55 Lac"
1700 sqft,3,House,Furnished,Karamsad Road Anand,"₹
80 Lac"
3000 sqft,4,Villa,Furnished,Bakrol Anand,"₹
2.50 Cr"
1090 sqft,2,Apartment,Semi-Furnished,Mota Bazar Anand,"₹
24 Lac"
750 sqft,2,Apartment,Semi-Furnished,Anand Sojitra Road Anand,"₹
20 Lac"
1250 sqft,3,Apartment,Unfurnished,Mota Bazaar Anand,"₹
29 Lac"
1850 sqft,3,House,Semi-Furnished,Karamsad Road Anand,"₹
8.10 Cr"
1750 sqft,3,House,Furnished,Karamsad Road Anand,"₹
78 Lac"
1450 sqft,3,House,Unfurnished,Vallabh Vidyanagar Anand,"₹
55 Lac"
1200 sqft,3,Apartment,Unfurnished,Vallabh Vidyanagar Anand,Call for Price
